dealer_name,street_address,city,state,zip,telephone,phone_status,active,full_address,map_url,source_page,notes
El Toro's Feed,529 Farm to Market 2537,San Antonio,TX,78221,(210) 214-8389,Verified current listing,True,"529 Farm to Market 2537, San Antonio, TX 78221",https://www.google.com/maps/search/?api=1&query=529%20Farm%20to%20Market%202537%2C%20San%20Antonio%2C%20TX%2078221,2,
ELIGIO'S FEED,9232 N Bentsen Palm,Mission,TX,,,Needs phone verification,True,"9232 N Bentsen Palm, Mission, TX",https://www.google.com/maps/search/?api=1&query=9232%20N%20Bentsen%20Palm%2C%20Mission%2C%20TX,2,ZIP not shown in source PDF.
Elsy's Birds & Feed,1441 Hartwick Rd,Houston,TX,77093,(281) 442-5621,Verified current listing,True,"1441 Hartwick Rd, Houston, TX 77093",https://www.google.com/maps/search/?api=1&query=1441%20Hartwick%20Rd%2C%20Houston%2C%20TX%2077093,2,
Farm & Ranch Supply San Isidro,5242 FM 1017,San Isidro,TX,78588,(956) 481-3346,Verified current listing,True,"5242 FM 1017, San Isidro, TX 78588",https://www.google.com/maps/search/?api=1&query=5242%20FM%201017%2C%20San%20Isidro%2C%20TX%2078588,2,
Farm and Ranch Center,806 W Rice St,Falfurrias,TX,78355,(361) 325-5656,Verified current listing,True,"806 W Rice St, Falfurrias, TX 78355",https://www.google.com/maps/search/?api=1&query=806%20W%20Rice%20St%2C%20Falfurrias%2C%20TX%2078355,2,
Feed Store & More El Viejon,2901 El Manantial Dr Ste B,Mission,TX,78574,,Needs phone verification,True,"2901 El Manantial Dr Ste B, Mission, TX 78574",https://www.google.com/maps/search/?api=1&query=2901%20El%20Manantial%20Dr%20Ste%20B%2C%20Mission%2C%20TX%2078574,2,
GF Feed Store,8904 Mesa Dr,Houston,TX,77028,(832) 488-0269,Verified current listing,True,"8904 Mesa Dr, Houston, TX 77028",https://www.google.com/maps/search/?api=1&query=8904%20Mesa%20Dr%2C%20Houston%2C%20TX%2077028,2,
Hernandez Feed Store And More,75 Freddy Fender Ln,San Benito,TX,78586,(956) 241-1952,Verified current listing,True,"75 Freddy Fender Ln, San Benito, TX 78586",https://www.google.com/maps/search/?api=1&query=75%20Freddy%20Fender%20Ln%2C%20San%20Benito%2C%20TX%2078586,2,
HWY 16 Feed & Supply,19821 State Highway 16 S,Von Ormy,TX,78073,(210) 624-2136,Verified current listing,True,"19821 State Highway 16 S, Von Ormy, TX 78073",https://www.google.com/maps/search/?api=1&query=19821%20State%20Highway%2016%20S%2C%20Von%20Ormy%2C%20TX%2078073,2,
"Innovative Farm & Ranch ""Alton""",311 N. Shary,Alton,TX,78573,(956) 358-5161,Verified dealer listing,True,"311 N. Shary, Alton, TX 78573",https://www.google.com/maps/search/?api=1&query=311%20N.%20Shary%2C%20Alton%2C%20TX%2078573,2,
"Innovative Farm & Ranch Supplies ""Harlingen""",2729 N. Expressway 77 Ste A,Harlingen,TX,78552,(956) 230-0202,Verified current listing,True,"2729 N. Expressway 77 Ste A, Harlingen, TX 78552",https://www.google.com/maps/search/?api=1&query=2729%20N.%20Expressway%2077%20Ste%20A%2C%20Harlingen%2C%20TX%2078552,2,
Junior's Fresh Supermarket University,2237 W University Dr,Edinburg,TX,78541,(956) 348-2203,Verified current listing,True,"2237 W University Dr, Edinburg, TX 78541",https://www.google.com/maps/search/?api=1&query=2237%20W%20University%20Dr%2C%20Edinburg%2C%20TX%2078541,2,
Junior's SuperMarket Alton,215 W Main Ave,Alton,TX,78573,(956) 585-1371,Verified current listing,True,"215 W Main Ave, Alton, TX 78573",https://www.google.com/maps/search/?api=1&query=215%20W%20Main%20Ave%2C%20Alton%2C%20TX%2078573,2,
Junior's Supermarket Edinburg,3621 N Closner Blvd,Edinburg,TX,78542,(956) 383-7178,Verified current listing,True,"3621 N Closner Blvd, Edinburg, TX 78542",https://www.google.com/maps/search/?api=1&query=3621%20N%20Closner%20Blvd%2C%20Edinburg%2C%20TX%2078542,2,
Junior's SuperMarket Hidalgo,1410 Ramon Ayala Dr,Hidalgo,TX,78557,(956) 843-1835,Verified current listing,True,"1410 Ramon Ayala Dr, Hidalgo, TX 78557",https://www.google.com/maps/search/?api=1&query=1410%20Ramon%20Ayala%20Dr%2C%20Hidalgo%2C%20TX%2078557,2,
Junior's Supermarket Penitas,38823 FM 221,Penitas,TX,78576,(956) 519-1211,Verified current listing,True,"38823 FM 221, Penitas, TX 78576",https://www.google.com/maps/search/?api=1&query=38823%20FM%20221%2C%20Penitas%2C%20TX%2078576,2,
Junior's SuperMarket Pharr CAGE,6501 S Cage,Pharr,TX,78577,(956) 781-7040,Verified current listing,True,"6501 S Cage, Pharr, TX 78577",https://www.google.com/maps/search/?api=1&query=6501%20S%20Cage%2C%20Pharr%2C%20TX%2078577,2,
Junior's SuperMarket San Juan,108 TX FM 495,San Juan,TX,78577,(956) 787-1452,Verified current listing,True,"108 TX FM 495, San Juan, TX 78577",https://www.google.com/maps/search/?api=1&query=108%20TX%20FM%20495%2C%20San%20Juan%2C%20TX%2078577,2,
Karl's Korner Farms Store,1545 N Alamo Rd,Alamo,TX,78516,(956) 781-2142,Verified current listing,True,"1545 N Alamo Rd, Alamo, TX 78516",https://www.google.com/maps/search/?api=1&query=1545%20N%20Alamo%20Rd%2C%20Alamo%2C%20TX%2078516,2,
La Colmena #2,493 F.M. Montecristo,La Blanca,TX,78542,,Needs phone verification,True,"493 F.M. Montecristo, La Blanca, TX 78542",https://www.google.com/maps/search/?api=1&query=493%20F.M.%20Montecristo%2C%20La%20Blanca%2C%20TX%2078542,2,
La Colmena Meat Market And Feed Store LLC,10800 W Monte Cristo Rd,Edinburg,TX,78541,(956) 581-2000,Verified current listing at 10900 W Monte Cristo Rd,True,"10800 W Monte Cristo Rd, Edinburg, TX 78541",https://www.google.com/maps/search/?api=1&query=10800%20W%20Monte%20Cristo%20Rd%2C%20Edinburg%2C%20TX%2078541,2,
La Herradura Feed Store,1905 N Main St,Cleburne,TX,76033,(817) 566-6894,Verified current listing,True,"1905 N Main St, Cleburne, TX 76033",https://www.google.com/maps/search/?api=1&query=1905%20N%20Main%20St%2C%20Cleburne%2C%20TX%2076033,3,
Land and Ranch Fencing & Supplies,1397 County Road 5710,Devine,TX,78016,(830) 538-4131,Verified current listing,True,"1397 County Road 5710, Devine, TX 78016",https://www.google.com/maps/search/?api=1&query=1397%20County%20Road%205710%2C%20Devine%2C%20TX%2078016,3,
Laredo Ranch Heights,2215 Laredo St,Laredo,TX,78043,(956) 723-8081,Verified current listing,True,"2215 Laredo St, Laredo, TX 78043",https://www.google.com/maps/search/?api=1&query=2215%20Laredo%20St%2C%20Laredo%2C%20TX%2078043,3,
Luchazie's General Store & Restaurant,1023 TX-44,San Diego,TX,78383,(361) 279-2825,Verified current listing,True,"1023 TX-44, San Diego, TX 78383",https://www.google.com/maps/search/?api=1&query=1023%20TX-44%2C%20San%20Diego%2C%20TX%2078383,3,
Martinez Feed,901 Miller Ave,Donna,TX,78537,(956) 566-3613,Verified current listing,True,"901 Miller Ave, Donna, TX 78537",https://www.google.com/maps/search/?api=1&query=901%20Miller%20Ave%2C%20Donna%2C%20TX%2078537,3,
Maverick Feed Supply,4682 FM1021,Eagle Pass,TX,78852,(830) 968-4969,Verified current listing,True,"4682 FM1021, Eagle Pass, TX 78852",https://www.google.com/maps/search/?api=1&query=4682%20FM1021%2C%20Eagle%20Pass%2C%20TX%2078852,3,
Maxim Steel LLC,89 E Frontage Rd,Alamo,TX,78516,(956) 403-0777,Verified current listing,True,"89 E Frontage Rd, Alamo, TX 78516",https://www.google.com/maps/search/?api=1&query=89%20E%20Frontage%20Rd%2C%20Alamo%2C%20TX%2078516,3,
Mesquite Creek Taxidermy,1650 S I-35 Frontage Rd,Pearsall,TX,78061,(830) 334-3219,Verified current listing,True,"1650 S I-35 Frontage Rd, Pearsall, TX 78061",https://www.google.com/maps/search/?api=1&query=1650%20S%20I-35%20Frontage%20Rd%2C%20Pearsall%2C%20TX%2078061,3,
Midland Farmers Coop,1409 S Fairgrounds Rd.,Midland,TX,79701,(432) 685-3771,Verified current listing,True,"1409 S Fairgrounds Rd., Midland, TX 79701",https://www.google.com/maps/search/?api=1&query=1409%20S%20Fairgrounds%20Rd.%2C%20Midland%2C%20TX%2079701,3,
Mission Feed & Hardware LLC,704 N Conway,Mission,TX,78572,(956) 581-2153,Verified current listing,True,"704 N Conway, Mission, TX 78572",https://www.google.com/maps/search/?api=1&query=704%20N%20Conway%2C%20Mission%2C%20TX%2078572,3,
Moore's Feed & Seed Store,3721 S Flores St,San Antonio,TX,78214,(210) 532-6328,Verified current listing,True,"3721 S Flores St, San Antonio, TX 78214",https://www.google.com/maps/search/?api=1&query=3721%20S%20Flores%20St%2C%20San%20Antonio%2C%20TX%2078214,3,
My Farm El Guero,3650 W Loop 1604 S,San Antonio,TX,78264,(432) 235-4227,Verified current listing,True,"3650 W Loop 1604 S, San Antonio, TX 78264",https://www.google.com/maps/search/?api=1&query=3650%20W%20Loop%201604%20S%2C%20San%20Antonio%2C%20TX%2078264,3,
New Berlin Feed,115 Old School Rd,Seguin,TX,78155,(830) 420-3322,Verified current listing,True,"115 Old School Rd, Seguin, TX 78155",https://www.google.com/maps/search/?api=1&query=115%20Old%20School%20Rd%2C%20Seguin%2C%20TX%2078155,3,
Pasturas Los Alazanes Dallas,1821 S St. Augustine Dr.,Dallas,TX,75217,(972) 557-1344,Verified current listing,True,"1821 S St. Augustine Dr., Dallas, TX 75217",https://www.google.com/maps/search/?api=1&query=1821%20S%20St.%20Augustine%20Dr.%2C%20Dallas%2C%20TX%2075217,3,
Pasturas Los Alazanes Forest Hill,3636 Mansfield Hwy,Forest Hill,TX,76119,(682) 708-3483,Verified current listing,True,"3636 Mansfield Hwy, Forest Hill, TX 76119",https://www.google.com/maps/search/?api=1&query=3636%20Mansfield%20Hwy%2C%20Forest%20Hill%2C%20TX%2076119,3,
Pasturas Los Alazanes Royse City,7612 W State Highway 66,Royse City,TX,75189,(469) 723-3076,Verified current listing,True,"7612 W State Highway 66, Royse City, TX 75189",https://www.google.com/maps/search/?api=1&query=7612%20W%20State%20Highway%2066%2C%20Royse%20City%2C%20TX%2075189,3,
Pecos County Feed & Supply,500 W Hornbeck Blvd,Fort Stockton,TX,79735,(432) 336-6877,Verified current listing,True,"500 W Hornbeck Blvd, Fort Stockton, TX 79735",https://www.google.com/maps/search/?api=1&query=500%20W%20Hornbeck%20Blvd%2C%20Fort%20Stockton%2C%20TX%2079735,3,
Primos Feed & Supply,1347 W Oaklawn Rd,Pleasanton,TX,78064,(830) 569-0080,Verified current listing,True,"1347 W Oaklawn Rd, Pleasanton, TX 78064",https://www.google.com/maps/search/?api=1&query=1347%20W%20Oaklawn%20Rd%2C%20Pleasanton%2C%20TX%2078064,3,
Ramirez Feed Store,3819 Nogalitos St,San Antonio,TX,78211,(210) 977-8993,Verified current listing,True,"3819 Nogalitos St, San Antonio, TX 78211",https://www.google.com/maps/search/?api=1&query=3819%20Nogalitos%20St%2C%20San%20Antonio%2C%20TX%2078211,3,Source line repeats 'San Antonio' before city.
Ranchito Alegre Feed Store,32 County Rd 329,Cleveland,TX,77327,,Needs phone verification,True,"32 County Rd 329, Cleveland, TX 77327",https://www.google.com/maps/search/?api=1&query=32%20County%20Rd%20329%2C%20Cleveland%2C%20TX%2077327,3,
Reeves County Feed & Supply,1820 S Bickley Ave,Pecos,TX,79772,(432) 447-2149,Verified current listing,True,"1820 S Bickley Ave, Pecos, TX 79772",https://www.google.com/maps/search/?api=1&query=1820%20S%20Bickley%20Ave%2C%20Pecos%2C%20TX%2079772,3,
RGV 1015 Feed & Seed LLC,5813 N FM 1015,Mercedes,TX,78570,,Needs phone verification,True,"5813 N FM 1015, Mercedes, TX 78570",https://www.google.com/maps/search/?api=1&query=5813%20N%20FM%201015%2C%20Mercedes%2C%20TX%2078570,3,
Ricardo's Ranch & Feed,117 Wagner St,Kingsville,TX,78363,(361) 592-3622,Verified current listing,True,"117 Wagner St, Kingsville, TX 78363",https://www.google.com/maps/search/?api=1&query=117%20Wagner%20St%2C%20Kingsville%2C%20TX%2078363,3,
Rio Grande Farm & Ranch Supply,1521 N Flores St,Rio Grande City,TX,78582,(956) 716-8236,Verified current listing,True,"1521 N Flores St, Rio Grande City, TX 78582",https://www.google.com/maps/search/?api=1&query=1521%20N%20Flores%20St%2C%20Rio%20Grande%20City%2C%20TX%2078582,3,
Rocking Moose,3609 TX-107,McAllen,TX,78504,(956) 318-1370,Verified current listing,True,"3609 TX-107, McAllen, TX 78504",https://www.google.com/maps/search/?api=1&query=3609%20TX-107%2C%20McAllen%2C%20TX%2078504,3,
Ruben Romo,7602 Magnolia Circle,Edinburg,TX,78542,,Needs phone verification,True,"7602 Magnolia Circle, Edinburg, TX 78542",https://www.google.com/maps/search/?api=1&query=7602%20Magnolia%20Circle%2C%20Edinburg%2C%20TX%2078542,3,
Saltlick Feed Store,3451 S U.S. Hwy 281,Alice,TX,78332,(361) 283-8200,Verified current listing,True,"3451 S U.S. Hwy 281, Alice, TX 78332",https://www.google.com/maps/search/?api=1&query=3451%20S%20U.S.%20Hwy%20281%2C%20Alice%2C%20TX%2078332,3,
Sprinkles LLC,36706 W Mile 7 Rd,Mission,TX,78574,(956) 519-3364,Verified current listing,True,"36706 W Mile 7 Rd, Mission, TX 78574",https://www.google.com/maps/search/?api=1&query=36706%20W%20Mile%207%20Rd%2C%20Mission%2C%20TX%2078574,3,
Texas Feed Express,12933 Martindale Rd,Houston,TX,77048,(713) 987-9123,Verified current listing,True,"12933 Martindale Rd, Houston, TX 77048",https://www.google.com/maps/search/?api=1&query=12933%20Martindale%20Rd%2C%20Houston%2C%20TX%2077048,3,
Three Kings Poultry Grain,8455 N FM 88,Weslaco,TX,78599,(956) 862-0766,Verified current Three Kings Poultry listing,True,"8455 N FM 88, Weslaco, TX 78599",https://www.google.com/maps/search/?api=1&query=8455%20N%20FM%2088%2C%20Weslaco%2C%20TX%2078599,3,
Torres Feed,24561 US-281,San Antonio,TX,78264,,Needs phone verification,True,"24561 US-281, San Antonio, TX 78264",https://www.google.com/maps/search/?api=1&query=24561%20US-281%2C%20San%20Antonio%2C%20TX%2078264,3,
Wholly Cow Farm & Ranch,15396 NW Blvd,Robstown,TX,78380,(361) 933-0777,Verified current listing,True,"15396 NW Blvd, Robstown, TX 78380",https://www.google.com/maps/search/?api=1&query=15396%20NW%20Blvd%2C%20Robstown%2C%20TX%2078380,3,
WOG Supply,625 E Hondo Ave,Devine,TX,78016,(830) 663-6100,Verified current listing,True,"625 E Hondo Ave, Devine, TX 78016",https://www.google.com/maps/search/?api=1&query=625%20E%20Hondo%20Ave%2C%20Devine%2C%20TX%2078016,4,
Zapata Feed Ranch Supplies,1010 Jackson St,Zapata,TX,78076,(956) 765-3082,Verified current listing,True,"1010 Jackson St, Zapata, TX 78076",https://www.google.com/maps/search/?api=1&query=1010%20Jackson%20St%2C%20Zapata%2C%20TX%2078076,4,
